IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.55.31,2053,2053,true,NRT,Asia Pacific,Tokyo,177,11.51
47.236.194.67,2082,2082,false,SIN,Asia Pacific,Singapore,14,11.51
47.74.41.87,2095,2095,false,NRT,Asia Pacific,Tokyo,71,11.50
47.74.27.211,2083,2083,true,NRT,Asia Pacific,Tokyo,238,11.50
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,46,11.50
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,97,11.50
8.219.174.213,443,443,true,SIN,Asia Pacific,Singapore,81,11.50
8.219.240.141,2096,2096,true,SIN,Asia Pacific,Singapore,78,11.50
47.74.11.251,2053,2053,true,NRT,Asia Pacific,Tokyo,147,11.50
8.219.247.203,2083,2083,true,SIN,Asia Pacific,Singapore,93,11.50
8.218.127.249,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,11.50
47.236.172.95,2096,2096,true,SYD,Oceania,Sydney,343,11.50
47.245.54.98,2053,2053,true,NRT,Asia Pacific,Tokyo,292,11.50
